Date,Pays,Deces,diffDeces0,diffDecesHier,pctgrow,daySince0,moyenne7
2020-03-20,Iraq,13,4,1,3.0,16.0,0.4
2020-03-20,Irlande,3,0,1,-1.0,9.0,-1.0
2020-03-20,Italie,3405,627,427,0.47,28.0,0.21
2020-03-20,Japon,29,4,0,,36.0,-0.87
2020-03-20,Liban,4,0,1,-1.0,10.0,-1.0
2020-03-20,Luxembourg,4,0,2,-1.0,6.0,-0.33
2020-03-20,Malaisie,2,1,0,,3.0,-1.0
2020-03-20,Maroc,2,1,0,,10.0,-1.0
2020-03-20,"Norvège",7,0,1,-1.0,6.0,-0.89
2020-03-20,Pakistan,2,1,2,-0.5,1.0,-0.5
2020-03-20,Pays-Bas,77,30,19,0.58,14.0,0.9
2020-03-20,Philippines,17,1,-2,-1.5,47.0,-0.74
2020-03-20,Pologne,5,0,0,,8.0,-0.5
2020-03-20,Portugal,3,3,1,2.0,3.0,0.67
2020-03-20,Royaume-Uni,138,40,66,-0.39,15.0,-0.87
2020-03-20,"République Dominicaine",2,0,1,-1.0,3.0,-1.0
2020-03-20,Saint-Marin,11,3,0,,17.0,-1.0
2020-03-20,Suisse,41,13,13,0.0,15.0,2.19
2020-03-20,"Suède",11,5,1,4.0,9.0,1.11
2020-03-20,Turquie,3,1,2,-0.5,3.0,-0.75
2020-03-20,Ukraine,2,1,0,,7.0,-1.0
2020-03-20,"Égypte",6,2,0,,12.0,-0.67
2020-03-20,"Équateur",3,2,1,1.0,6.0,0.0
2020-03-20,"États-Unis",200,44,82,-0.46,20.0,1.14
2020-03-21,Albanie,2,0,0,,10.0,-1.0
2020-03-21,"Algérie",11,4,2,1.0,9.0,-0.07
2020-03-21,Allemagne,67,17,23,-0.26,12.0,0.7
2020-03-21,Argentine,3,1,0,,13.0,-1.0
2020-03-21,Australie,7,0,1,-1.0,20.0,-0.88
2020-03-21,Autres,7,1,0,,30.0,
2020-03-21,Autriche,6,2,0,,9.0,-0.33
2020-03-21,Belgique,37,30,16,0.88,10.0,0.95
2020-03-21,"Brésil",11,4,5,-0.2,4.0,0.49
2020-03-21,Bulgarie,3,0,0,,10.0,-1.0
2020-03-21,Canada,12,7,3,1.33,12.0,0.8
2020-03-21,"Corée du Sud",94,8,3,1.67,30.0,0.07
2020-03-21,Danemark,9,4,3,0.33,7.0,-0.03
2020-03-21,Espagne,1043,332,213,0.56,18.0,0.58
2020-03-21,France,450,112,78,0.44,35.0,0.65
2020-03-21,"Grèce",6,7,0,,10.0,-0.88
2020-03-21,Hong-Kong,4,0,0,,46.0,
2020-03-21,Hongrie,3,1,2,-0.5,6.0,-0.75
2020-03-21,Inde,5,-1,1,-2.0,10.0,-1.0
2020-03-21,"Indonésie",32,6,7,-0.14,10.0,-0.39
2020-03-21,Iraq,17,0,4,-1.0,17.0,0.2
2020-03-21,Irlande,3,0,0,,10.0,-1.0
